first,second,third,fourth,fifth,sixth,seventh,eight,nine ,ten,class
2,6,4,6,1,33,0,0,0,0,0
24,13,61,17,0,1,0,0,1,1,0
65,151,587,170,3,11,2,1,1,1,0
10,27,10,27,0,0,0,0,1,1,0
9,67,273,68,0,0,1,0,1,1,1
9,22,52,22,0,8,1,0,1,1,0
34,173,362,183,0,7,1,1,1,1,1
50,176,879,186,1,12,2,1,1,1,0
12,54,142,59,0,16,1,0,1,1,0
23,117,177,120,0,29,0,0,1,1,1
109,411,1536,428,3,51,7,1,1,1,0
18,35,178,40,2,8,0,0,1,1,0
8,18,67,20,0,0,1,0,1,1,0
5,2,29,3,0,0,0,0,0,0,0
67,274,665,298,8,199,4,1,1,1,1
35,124,503,131,1,25,0,0,1,1,1
37,129,308,143,3,35,1,0,1,1,1
104,448,1401,473,7,100,5,1,1,1,1
73,401,742,428,3,3,8,1,1,1,0
95,317,1429,340,2,34,3,1,1,1,0
66,274,857,298,11,34,5,0,1,1,0
19,48,232,55,4,79,0,0,1,1,0
104,440,1567,468,5,31,8,1,1,1,0
61,236,887,245,1,19,3,1,1,1,1
64,219,474,249,7,93,1,0,1,1,1
57,244,887,267,4,52,3,0,1,1,1
16,81,119,87,0,5,1,0,1,1,0
72,311,994,342,5,93,4,1,1,1,0
10,2,0,3,0,0,0,0,0,0,0
43,157,1211,168,2,13,4,1,1,1,0
10,13,0,13,0,0,0,0,0,1,0
44,141,379,156,3,22,0,0,1,1,0
29,97,333,99,1,4,3,0,1,1,1
11,7,21,9,0,0,0,0,1,1,0
50,169,944,185,11,28,2,1,1,1,0
108,371,1426,418,12,168,6,0,1,1,1
11,13,52,13,0,2,0,0,0,0,0
66,242,810,264,4,76,2,0,1,1,1
4,50,68,51,0,0,1,0,1,1,1
108,366,1313,404,10,133,8,1,1,1,1
81,327,1261,348,4,29,6,1,1,1,1
43,78,84,101,2,101,1,0,1,1,0
64,245,1000,269,5,87,2,0,1,1,1
10,64,109,64,0,0,1,0,1,1,0
39,232,1570,246,1,40,8,0,1,1,1
20,78,23,80,3,88,0,0,1,1,0
75,186,719,230,6,31,4,0,1,1,0
8,24,31,29,0,22,0,0,1,1,0
43,234,2630,248,4,29,7,0,1,1,1
6,10,81,13,0,0,0,0,0,0,0
7,28,106,31,4,20,0,0,0,0,0
54,199,569,210,0,18,2,0,1,1,0
41,112,804,115,0,32,3,0,1,1,1
73,194,1231,217,6,52,3,0,1,1,1
91,344,1155,391,4,98,8,1,1,1,1
1,2,0,2,0,0,0,0,0,0,0
58,196,389,219,3,50,4,1,1,1,0
63,233,608,245,0,62,4,0,1,1,1
11,16,33,20,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
68,235,868,254,3,27,2,0,1,1,1
6,23,44,23,1,3,0,0,1,1,0
55,229,550,243,1,14,9,0,1,1,0
18,35,34,40,0,2,0,0,1,1,0
64,256,737,266,2,9,3,0,1,1,0
30,53,221,56,0,28,0,1,1,1,0
50,257,830,295,4,67,4,1,1,1,0
47,159,698,178,2,69,4,0,1,1,0
90,368,1297,419,8,66,7,1,1,1,1
9,18,60,21,1,3,1,0,1,1,1
72,192,914,225,5,61,1,0,1,1,1
47,205,468,221,3,28,6,1,1,1,0
67,157,720,168,1,39,2,1,1,1,0
139,442,1951,481,7,137,9,1,1,1,1
58,229,690,265,4,115,7,1,1,1,1
21,48,86,53,0,10,0,0,1,1,1
35,127,716,139,4,82,4,0,1,1,0
28,152,347,165,2,20,4,1,1,1,0
5,8,5,8,0,0,0,0,1,1,0
50,253,972,269,4,41,13,1,1,1,0
2,9,7,9,0,0,0,0,0,0,0
12,74,87,75,0,2,1,0,1,1,0
80,344,1373,362,3,35,5,1,1,1,0
6,0,0,0,0,0,0,0,0,0,0
56,265,1083,273,3,26,5,0,1,1,0
69,383,1333,394,1,22,14,0,1,1,1
58,233,1014,277,10,101,3,0,1,1,0
64,183,718,202,3,30,2,0,1,1,0
9,42,355,46,0,1,1,0,1,1,0
103,315,800,348,7,23,4,1,1,1,0
44,156,467,171,0,21,1,1,1,1,1
9,38,61,47,0,14,0,0,1,1,0
76,315,777,333,2,62,3,0,1,1,1
16,62,79,68,0,13,1,0,1,1,0
49,186,538,198,2,38,1,1,1,1,0
8,3,0,5,0,3,0,0,0,0,0
12,37,80,44,1,8,0,0,1,1,0
44,162,420,187,4,12,4,1,1,1,1
131,457,2240,506,14,111,5,1,1,1,1
54,151,1182,169,4,6,1,0,1,1,0
